TYPE	PARAM	TRUE	AVG	BIAS	LOW	AVG	UPP	COV
BIASALLELEFREQ	0.6	0.03	0.030055759097399368	-5.5759097399368796e-05	0.026941958311841444	0.030055759097399368	0.033169559882957285	0.9461
BIASALLELEFREQ	0.55	0.03	0.030003288983910074	-3.288983910075538e-06	0.02679182549422729	0.030003288983910074	0.033214752473592866	0.9505
BIASALLELEFREQ	0.5	0.03	0.030020314351639776	-2.0314351639776768e-05	0.02669609817767261	0.030020314351639776	0.033344530525606944	0.948
BIASALLELEFREQ	0.45	0.03	0.030183924548171343	-0.00018392454817134363	0.02670610981772255	0.030183924548171343	0.03366173927862012	0.9569
BIASALLELEFREQ	0.4	0.03	0.03053770486538235	-0.0005377048653823525	0.026846363704563565	0.03053770486538235	0.03422904602620114	0.9575
BIASALLELEFREQ	0.7	0.03	0.030861042724389387	-0.0008610427243893881	0.027829210601230933	0.030861042724389387	0.03389287484754785	0.9155
BIASALLELEFREQ	0.52	0.03	0.029976513953665473	2.348604633452614e-05	0.02670120269041892	0.029976513953665473	0.033251825216912015	0.9496
BIASALLELEFREQ	0.48	0.03	0.03003415255985169	-3.415255985169188e-05	0.02665419671752023	0.03003415255985169	0.033414108402183146	0.9555
BIASALLELEFREQ	0.3	0.03	0.03196940515027092	-0.001969405150270921	0.027656958460062223	0.03196940515027092	0.03628185184047962	0.9146
